"name","category","total","weekly","monthly","timestamp"
"cosmos-kit","cosmos-kit",11822,312,1132,"2024-02-21"
"@cosmos-kit/core","cosmos-kit",227183,2930,13083,"2024-02-21"
"@cosmos-kit/react","cosmos-kit",94041,937,4634,"2024-02-21"
"@cosmos-kit/react-lite","cosmos-kit",79926,1288,5349,"2024-02-21"
"@cosmos-kit/walletconnect","cosmos-kit",134065,2090,9192,"2024-02-21"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",24534,406,1407,"2024-02-21"
"@cosmos-kit/ledger","cosmos-kit-wallets",14936,456,1348,"2024-02-21"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",7540,405,1242,"2024-02-21"
"@cosmos-kit/fin","cosmos-kit-wallets",13332,327,1018,"2024-02-21"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",19508,393,1218,"2024-02-21"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",32125,705,2698,"2024-02-21"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",29834,400,1445,"2024-02-21"
"@cosmos-kit/shell","cosmos-kit-wallets",15073,406,1217,"2024-02-21"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",228,7,41,"2024-02-21"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",94423,1182,5067,"2024-02-21"
"@cosmos-kit/vectis","cosmos-kit-wallets",33707,410,1586,"2024-02-21"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",16884,410,1226,"2024-02-21"
"@cosmos-kit/ninji","cosmos-kit-wallets",1838,71,275,"2024-02-21"
"@cosmos-kit/station-extension","cosmos-kit-wallets",26291,764,3102,"2024-02-21"
"@cosmos-kit/coin98","cosmos-kit-wallets",19790,396,1377,"2024-02-21"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",117314,1725,7586,"2024-02-21"
"@cosmos-kit/exodus","cosmos-kit-wallets",14283,389,1145,"2024-02-21"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",20856,225,745,"2024-02-21"
"@cosmos-kit/leap","cosmos-kit-wallets",120408,1563,7103,"2024-02-21"
"@cosmos-kit/xdefi","cosmos-kit-wallets",37617,680,2705,"2024-02-21"
"@cosmos-kit/web3auth","cosmos-kit-wallets",14606,144,425,"2024-02-21"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",1477,42,165,"2024-02-21"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",102222,1040,4619,"2024-02-21"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",15535,402,1219,"2024-02-21"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",88953,1033,4540,"2024-02-21"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",32232,444,1591,"2024-02-21"
"@cosmos-kit/station","cosmos-kit-wallets",26195,737,3196,"2024-02-21"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",14646,386,1147,"2024-02-21"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",84838,1589,6737,"2024-02-21"
"@cosmos-kit/initia","cosmos-kit-wallets",1398,42,163,"2024-02-21"
"@cosmos-kit/frontier","cosmos-kit-wallets",23111,408,1274,"2024-02-21"
"@cosmos-kit/trust","cosmos-kit-wallets",31694,407,1803,"2024-02-21"
"@cosmos-kit/compass","cosmos-kit-wallets",22262,523,1522,"2024-02-21"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",117751,1737,7410,"2024-02-21"
"@cosmos-kit/keplr-extension","cosmos-kit-wallets",122760,1852,7843,"2024-02-21"
"@cosmos-kit/ninji-extension","cosmos-kit-wallets",2011,71,276,"2024-02-21"
"@cosmos-kit/compass-extension","cosmos-kit-wallets",26139,578,1705,"2024-02-21"
"@cosmos-kit/xdefi-extension","cosmos-kit-wallets",54221,776,3394,"2024-02-21"
"@cosmos-kit/okxwallet","cosmos-kit-wallets",27549,396,1842,"2024-02-21"
"@cosmos-kit/omni","cosmos-kit-wallets",28354,402,1432,"2024-02-21"
"@cosmos-kit/keplr","cosmos-kit-wallets",140784,1720,7168,"2024-02-21"
"@cosmos-kit/omni-mobile","cosmos-kit-wallets",29994,399,1429,"2024-02-21"
"@cosmos-kit/leap-metamask-cosmos-snap","cosmos-kit-wallets",45558,1595,6767,"2024-02-21"
"@cosmwasm/ts-codegen","cosmwasm",233773,2873,11782,"2024-02-21"
"@interchain-ui/react","interchain-ui",40409,1023,5043,"2024-02-21"
"@cosmology/telescope","telescope",37133,879,3839,"2024-02-21"
"@cosmology/lcd","telescope",33612,1663,5523,"2024-02-21"
"@cosmology/ast","telescope",36488,853,3747,"2024-02-21"
"@osmonauts/telescope","telescope",187632,923,4481,"2024-02-21"
"@osmonauts/lcd","telescope",435767,5891,22123,"2024-02-21"
"@osmonauts/ast","telescope",178107,941,4551,"2024-02-21"
"@dydxprotocol/v4-client-js","dydx",9185,447,1826,"2024-02-21"
"stargazejs","stargaze",14237,33,133,"2024-02-21"
"@stargaze-zone/chain","stargaze",2859,0,8,"2024-02-21"
"@stargaze-zone/contracts","stargaze",2941,1,6,"2024-02-21"
"stargaze-query","stargaze",768,5,54,"2024-02-21"
"stridejs","stride",17161,495,1444,"2024-02-21"
"quicksilverjs","quicksilver",3545,36,380,"2024-02-21"
"juno-network","juno",16354,190,685,"2024-02-21"
"@juno-network/assets","juno",5566,3,46,"2024-02-21"
"@osmonauts/math","osmosis",10867,208,647,"2024-02-21"
"osmojs","osmosis",168352,2843,9465,"2024-02-21"
"@chain-registry/client","chain-registry",14602,1198,4542,"2024-02-21"
"@chain-registry/types","chain-registry",535944,10156,36609,"2024-02-21"
"@chain-registry/keplr","chain-registry",138135,2169,8562,"2024-02-21"
"@chain-registry/cosmostation","chain-registry",91688,1924,7028,"2024-02-21"
"@chain-registry/osmosis","chain-registry",34517,767,2146,"2024-02-21"
"@chain-registry/juno","chain-registry",9931,142,233,"2024-02-21"
"@chain-registry/assets","chain-registry",25024,341,951,"2024-02-21"
"@chain-registry/utils","chain-registry",101977,2344,8895,"2024-02-21"
"chain-registry","chain-registry",282382,5597,19252,"2024-02-21"
"@cosmology/cli","cosmology",17420,5,16,"2024-02-21"
"@cosmology/core","cosmology",24463,323,997,"2024-02-21"
"cosmology","cosmology",17922,5,10,"2024-02-21"
"create-cosmos-app","cosmology",10080,37,136,"2024-02-21"
"graphile-query","launchql",259,0,1,"2024-02-21"
"pg-ast","launchql",185,5,6,"2024-02-21"
"@launchql/cli","launchql",11724,1,2,"2024-02-21"
"@launchql/server","launchql",4764,9,13,"2024-02-21"
"libpg-query","launchql",2610439,13230,45135,"2024-02-21"
"pgsql-parser","launchql",2355940,10720,36809,"2024-02-21"
"@protobufs/cosmos","protobufs",135337,1280,5652,"2024-02-21"
"@protobufs/google","protobufs",140080,1457,6422,"2024-02-21"
