"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",575,5,41,"2025-02-13"
"@hyperweb/cli","hyperwebjs",110,1,11,"2025-02-13"
"hyperwebjs","hyperwebjs",711,98,152,"2025-02-13"
"hyperweb-kit","hyperwebjs",110,1,10,"2025-02-13"
"@hyperweb/build","hyperwebjs",300,87,104,"2025-02-13"
"@hyperweb/ts-json-schema","hyperwebjs",168,63,73,"2025-02-13"
"interchainjs","interchain-js",12241,1024,4053,"2025-02-13"
"injectivejs","interchain-js",6536,195,1133,"2025-02-13"
"@interchainjs/utils","interchain-js",12609,1462,4208,"2025-02-13"
"@interchainjs/types","interchain-js",12919,1518,4295,"2025-02-13"
"@interchainjs/auth","interchain-js",11574,1309,3963,"2025-02-13"
"@interchainjs/cosmos","interchain-js",12590,1375,4013,"2025-02-13"
"@interchainjs/cosmos-msgs","interchain-js",378,1,22,"2025-02-13"
"@interchainjs/cosmos-query","interchain-js",373,1,23,"2025-02-13"
"@interchainjs/ethereum","interchain-js",5806,539,1372,"2025-02-13"
"@interchainjs/injective","interchain-js",6531,668,1567,"2025-02-13"
"@interchainjs/cosmos-types","interchain-js",14427,1580,4844,"2025-02-13"
"@interchainjs/ethermint","interchain-js",753,2,27,"2025-02-13"
"injective-query","interchain-js",90,1,13,"2025-02-13"
"injective-react","interchain-js",1608,137,958,"2025-02-13"
"injective-vue","interchain-js",1366,136,896,"2025-02-13"
"interchain-react","interchain-js",938,12,175,"2025-02-13"
"interchain-kit","cosmos-kit",5184,281,1408,"2025-02-13"
"@interchain-kit/core","cosmos-kit",10849,1092,3237,"2025-02-13"
"@interchain-kit/react","cosmos-kit",5076,453,1416,"2025-02-13"
"@interchain-kit/vue","cosmos-kit",1572,181,544,"2025-02-13"
"cosmos-kit","cosmos-kit",48059,1019,4410,"2025-02-13"
"@cosmos-kit/core","cosmos-kit",692194,8015,37669,"2025-02-13"
"@cosmos-kit/react","cosmos-kit",149999,2287,9281,"2025-02-13"
"@cosmos-kit/react-lite","cosmos-kit",183703,2686,10711,"2025-02-13"
"@cosmos-kit/walletconnect","cosmos-kit",508993,7273,30241,"2025-02-13"
"create-cosmos-app","create-cosmos-app",5858,9,210,"2025-02-13"
"create-interchain-app","create-cosmos-app",1149,10,255,"2025-02-13"
"@interchain-kit/okx-extension","interchain-kit-wallets",4851,346,1106,"2025-02-13"
"@interchain-kit/mock-wallet","interchain-kit-wallets",4132,382,1009,"2025-02-13"
"@interchain-kit/leap-extension","interchain-kit-wallets",4885,433,1299,"2025-02-13"
"@interchain-kit/ledger","interchain-kit-wallets",4728,351,1160,"2025-02-13"
"@interchain-kit/coin98-extension","interchain-kit-wallets",4763,363,1199,"2025-02-13"
"@interchain-kit/leap-mobile","interchain-kit-wallets",4749,374,1205,"2025-02-13"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",4677,362,1261,"2025-02-13"
"@interchain-kit/keplr-extension","interchain-kit-wallets",5065,417,1376,"2025-02-13"
"@interchain-kit/frontier-extension","interchain-kit-wallets",3250,336,1152,"2025-02-13"
"@interchain-kit/station-extension","interchain-kit-wallets",3250,344,1164,"2025-02-13"
"@interchain-kit/cosmostation-extension","interchain-kit-wallets",3243,347,1120,"2025-02-13"
"@interchain-kit/galaxy-station-extension","interchain-kit-wallets",3293,378,1187,"2025-02-13"
"@interchain-kit/cosmos-extension-metamask","interchain-kit-wallets",2289,426,1175,"2025-02-13"
"@interchain-kit/trust-extension","interchain-kit-wallets",2070,354,1059,"2025-02-13"
"@interchain-kit/leap-cosmos-extension-metamask","interchain-kit-wallets",2094,359,1072,"2025-02-13"
"@interchain-kit/xdefi-extension","interchain-kit-wallets",1242,277,627,"2025-02-13"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",58463,492,2328,"2025-02-13"
"@cosmos-kit/ledger","cosmos-kit-wallets",63099,1168,4936,"2025-02-13"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",36003,955,4253,"2025-02-13"
"@cosmos-kit/fin","cosmos-kit-wallets",55353,1020,4392,"2025-02-13"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",60037,1024,4467,"2025-02-13"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",352455,5044,20774,"2025-02-13"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",312944,5348,21364,"2025-02-13"
"@cosmos-kit/shell","cosmos-kit-wallets",56625,997,4295,"2025-02-13"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",5498,65,405,"2025-02-13"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",426137,5910,24640,"2025-02-13"
"@cosmos-kit/vectis","cosmos-kit-wallets",72059,514,2352,"2025-02-13"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",60594,1013,4459,"2025-02-13"
"@cosmos-kit/ninji","cosmos-kit-wallets",10652,72,644,"2025-02-13"
"@cosmos-kit/station-extension","cosmos-kit-wallets",347607,4522,19007,"2025-02-13"
"@cosmos-kit/coin98","cosmos-kit-wallets",60348,1025,4434,"2025-02-13"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",475924,6965,28797,"2025-02-13"
"@cosmos-kit/exodus","cosmos-kit-wallets",54432,922,4160,"2025-02-13"
